"TEAM NAMES","Series Number","Filename","Name","Description","Gender","attributes","UUID","SHA"
"TEAM BEVEL","1","adewale-the-amebo","adewale the amebo","Adewale likes to be in everyone's business. ","Male","hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity;","cad316c3-37f8-4b27-9f53-9d803bfcfee7","27b3e27c488facea1971e220a4ab16caa230cfd7b9d4327fb7490c33f708507b"
"","2","alli-the-queeny","alli the queeny","Alli is an LGBT Stan.","Male","hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none: strength: powerful; weakness: none;","a57ecda4-a26f-4e97-a757-e1800af39aab","8b1fa7651e0738fe603794169afd613903a1dbfa0b58fe57cb9875d1192f98da"
"","3","aminat-the-snnobish","aminat the snnobish","Aminat never really wants to talk to anyone.","Female","hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude;","0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de","b4fefd959c3c69100dff72c06bfdaefae309848378d3748d15012b71d18cfa59"
"","4","aminu-the-carpenter","aminu the carpenter","Aminu's hands are blessed, he makes the best furniture in the whole of Kano.","Male","hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none;","4f30b751-96e7-40fe-97fd-e3d44973ff2f","9a676b401973c453886547806a17ee9f765e001b4956725d739663b54daff2c0"
"","5","chibuike-the-kudibag","chibuike the kudibag","Chibuike is too rich. Everyone wonders how he got it.","Male","hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none;","5ce854f2-7ac1-46fd-b3fe-57583935d1e5","e6bb79a3025e05665b0b1b13d20ee80eb66f3797bbc947c31a5c268ab8f8465b"
"","6","chidinma-the-model","chidinma the model","From Paris' runways, to London's streets, she's always in demand.","Female","hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none;","c98db72e-49ac-4ca6-89d5-e00f5fbbcc45","ea322302f24756f97e5f45d2802624e3bff695596f032010210ec17da9961fb5"
"","7","chioma-pretty- girl","chioma pretty girl","Chioma's face card is a 100.","Female","hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none;","182ea888-a85b-42ca-ad73-ed4f8f9aa5c7","71d61f60f6e09bfd25b195457d2c0edb117bbeae00a6fc0aa8840651c2af782a"
"","8","damilare-the-handsome","damilare the handsome","He's a fine boy, proper eye candy. ","Male","hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;","27eca2dc-d7df-474a-8f8f-1858152c711e","5c66da7e52ab61e399e4485966559722554eef30b1c8de6fbd8037de8da6e8bc"
"","9","ebiowie-the-planter","ebiowie the planter","Ebiowei has a reputation for nurturing plants.","Male","hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none;","f1df8270-4d60-4bd4-8959-ba7c384db5c4","980834e9232dc7d0ba7b08f1ccdb267ee509e26669831849aa110f2525d9d1cc"
"","10","emeka-the-businessman","emeka the businessman","Emeka only cares about containers. No time to waste.","Male","hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none;","9b3d75da-4887-4089-aee4-50de3954fdc9","4a2a939756d4782513413a0844da43e6eafec77d686e59349c5d718d6a1ae0f1"
